Q1,Q2,Q3,Q4,Q5,Q6,Q10,Q11,Q12,Q13,Q14,Q15,Q19,Q20,Q21,Q22,Q25,Q26,Q27,Q28
Very high,Rarely,Predictable,No control,Improve productivity,Controlled,Managing,Strong,Slightly tired,Try to figure out,Rarely,Adjust quickly,Sometimes,Comfortable,Clear,Rare,Low,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Occasionally,Predictable,Moderate,Reduce productivity,Busy,In control,Moderate,Slightly tired,Try to figure out,Occasionally,Adjust quickly,Often,Very comfortable,Clear,Rare,High,Fully refreshed,Uncomfortable,Minimal
Well-balanced,Frequently,Sometimes unpredictable,High,Improve productivity,Chaotic,In control,Weak,Satisfied and clear,Try to figure out,Frequently,Adjust quickly,Often,Comfortable,Sometimes unclear,Constant,High,Slightly refreshed,Comfortable,Mild
Well-balanced,Occasionally,Mostly predictable,Moderate,Improve productivity,Chaotic,Managing,Strong,Satisfied and clear,Clarify immediately,Frequently,Adjust quickly,Always,Comfortable,Clear,Frequent,High,Fully refreshed,Comfortable,Minimal
Slightly high,Occasionally,Mostly predictable,High,Slight impact,Controlled,Struggling,Weak,Slightly tired,Try to figure out,Frequently,Analyze and fix,Always,Very comfortable,Mostly clear,Occasional,High,Fully refreshed,Slight discomfort,Noticeable
Well-balanced,Occasionally,Mostly predictable,High,Reduce productivity,Busy,In control,Strong,Satisfied and clear,Clarify immediately,Frequently,Feel stressed,Always,Comfortable,Mostly clear,Occasional,High,Slightly refreshed,Slight discomfort,Noticeable
Well-balanced,Rarely,Mostly predictable,High,Slight impact,Busy,Managing,Weak,Slightly tired,Delay starting,Constantly,Analyze and fix,Often,Very comfortable,Mostly clear,Rare,High,Mostly refreshed,Noticeable strain,Minimal
Slightly high,Rarely,Mostly predictable,High,Improve productivity,Controlled,In control,Moderate,Satisfied and clear,Try to figure out,Frequently,Analyze and fix,Often,Very comfortable,Clear,Rare,Moderate,Slightly refreshed,Slight discomfort,High
Slightly high,Rarely,Sometimes unpredictable,Moderate,Improve productivity,Busy,In control,Moderate,Satisfied and clear,Clarify immediately,Frequently,Adjust quickly,Sometimes,Comfortable,Mostly clear,Frequent,Low,Slightly refreshed,Slight discomfort,Mild
Well-balanced,Frequently,Predictable,High,Slight impact,Hectic,In control,Very weak,Slightly tired,Try to figure out,Rarely,Adjust quickly,Always,Very comfortable,Clear,Constant,High,Fully refreshed,Comfortable,Mild
Well-balanced,Occasionally,Mostly predictable,No control,Reduce productivity,Busy,Managing,Strong,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Comfortable,Often unclear,Rare,Moderate,Slightly refreshed,Slight discomfort,Minimal
Well-balanced,Rarely,Mostly predictable,Moderate,Improve productivity,Hectic,In control,Moderate,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Slightly uncomfortable,Sometimes unclear,Frequent,High,Fully refreshed,Comfortable,High
Slightly high,Rarely,Mostly predictable,No control,Improve productivity,Busy,In control,Strong,Mentally drained,Try to figure out,Occasionally,Adjust quickly,Sometimes,Very comfortable,Clear,Frequent,Low,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Predictable,Moderate,Improve productivity,Controlled,Struggling,Moderate,Mentally drained,Clarify immediately,Rarely,Adjust quickly,Often,Very comfortable,Mostly clear,Frequent,High,Fully refreshed,Noticeable strain,Minimal
Very high,Rarely,Predictable,Low,Improve productivity,Controlled,In control,Very weak,Mentally drained,Try to figure out,Frequently,Analyze and fix,Often,Comfortable,Sometimes unclear,Rare,Low,Fully refreshed,Slight discomfort,Minimal
Slightly High,Frequently,Predictable,Low,Slight impact,Busy,In control,Very weak,Satisfied and clear,Try to figure out,Occasionally,Adjust quickly,Always,Slightly uncomfortable,Clear,Frequent,Low,Fully refreshed,Slight discomfort,Mild
Very HIgh,Frequently,Sometimes unpredictable,Moderate,Improve productivity,Controlled,In control,Moderate,Mentally drained,Clarify immediately,Rarely,Analyze and fix,Always,Slightly uncomfortable,Mostly clear,Constant,Moderate,Fully refreshed,Comfortable,Minimal
Slightly high,Frequently,Mostly predictable,Low,Slight impact,Controlled,In control,Moderate,Mentally drained,Delay starting,Occasionally,Feel stressed,Often,Comfortable,Clear,Occasional,High,Mostly refreshed,Noticeable strain,Noticeable
Well-balanced,Almost daily,Mostly predictable,Moderate,Slight impact,Hectic,Struggling,Strong,Satisfied and clear,Try to figure out,Frequently,Adjust quickly,Always,Comfortable,Clear,Frequent,Low,Slightly refreshed,Uncomfortable,Noticeable
High,Occasionally,Predictable,Low,Reduce productivity,Controlled,Managing,Weak,Overwhelmed,Try to figure out,Rarely,Adjust quickly,Always,Uncomfortable,Clear,Frequent,Moderate,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Occasionally,Predictable,Moderate,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Avoid dealing,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Predictable,High,Improve productivity,Controlled,Managing,Very weak,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Rarely,Uncomfortable,Sometimes unclear,Rare,High,Fully refreshed,Slight discomfort,Minimal
Slightly high,Frequently,Predictable,High,Improve productivity,Busy,Struggling,Strong,Satisfied and clear,Delay starting,Rarely,Analyze and fix,Often,Comfortable,Mostly clear,Frequent,Low,Fully refreshed,Slight discomfort,Minimal
High,Occasionally,Predictable,High,Improve productivity,Hectic,Overwhelmed,Strong,Slightly tired,Try to figure out,Rarely,Adjust quickly,Sometimes,Very comfortable,Clear,Frequent,High,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Frequently,Sometimes unpredictable,High,Slight impact,Controlled,Managing,Strong,Slightly tired,Delay starting,Occasionally,Analyze and fix,Sometimes,Comfortable,Clear,Frequent,High,Fully refreshed,Uncomfortable,Mild
Slightly high,Rarely,Predictable,High,Major disruption,Hectic,Overwhelmed,Weak,Mentally drained,Try to figure out,Rarely,Adjust quickly,Often,Very comfortable,Often unclear,Rare,Low,Not refreshed,Uncomfortable,Minimal
High,Rarely,Mostly predictable,High,Reduce productivity,Chaotic,In control,Moderate,Mentally drained,Clarify immediately,Occasionally,Adjust quickly,Often,Slightly uncomfortable,Mostly clear,Rare,Very low,Mostly refreshed,Noticeable strain,Mild
Well-balanced,Rarely,Predictable,Moderate,Improve productivity,Hectic,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Often,Very comfortable,Clear,Rare,High,Slightly refreshed,Uncomfortable,Minimal
High,Rarely,Mostly predictable,Moderate,Slight impact,Chaotic,In control,Weak,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Sometimes,Very comfortable,Clear,Constant,High,Mostly refreshed,Noticeable strain,Mild
Well-balanced,Frequently,Predictable,Low,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Occasionally,Adjust quickly,Often,Comfortable,Mostly clear,Rare,Low,Fully refreshed,Noticeable strain,Noticeable
Slightly high,Rarely,Predictable,Low,Improve productivity,Busy,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Mostly clear,Frequent,Low,Fully refreshed,Slight discomfort,Mild
Well-balanced,Occasionally,Predictable,Moderate,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Try to figure out,Occasionally,Analyze and fix,Always,Slightly uncomfortable,Clear,Rare,High,Fully refreshed,Noticeable strain,Noticeable
Well-balanced,Frequently,Sometimes unpredictable,Moderate,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Try to figure out,Occasionally,Avoid dealing,Often,Very comfortable,Sometimes unclear,Occasional,Low,Fully refreshed,Noticeable strain,Mild
Well-balanced,Occasionally,Mostly predictable,High,Reduce productivity,Hectic,Managing,Strong,Slightly tired,Clarify immediately,Rarely,Feel stressed,Often,Comfortable,Mostly clear,Rare,High,Mostly refreshed,Comfortable,Mild
Well-balanced,Occasionally,Sometimes unpredictable,Low,Slight impact,Busy,In control,Strong,Mentally drained,Clarify immediately,Frequently,Analyze and fix,Sometimes,Slightly uncomfortable,Sometimes unclear,Rare,Low,Fully refreshed,Slight discomfort,Minimal
Slightly high,Rarely,Predictable,Moderate,Major disruption,Busy,Overwhelmed,Strong,Satisfied and clear,Try to figure out,Rarely,Adjust quickly,Often,Very comfortable,Sometimes unclear,Rare,Low,Slightly refreshed,Comfortable,Minimal
Well-balanced,Frequently,Highly unpredictable,Low,Improve productivity,Busy,Managing,Weak,Satisfied and clear,Try to figure out,Occasionally,Analyze and fix,Often,Comfortable,Clear,Frequent,Low,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Highly unpredictable,High,Slight impact,Hectic,Managing,Weak,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Clear,Frequent,High,Fully refreshed,Slight discomfort,Mild
Well-balanced,Occasionally,Predictable,No control,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Delay starting,Occasionally,Feel stressed,Always,Slightly uncomfortable,Mostly clear,Rare,Moderate,Fully refreshed,Noticeable strain,High
Well-balanced,Occasionally,Sometimes unpredictable,Low,Improve productivity,Busy,Managing,Strong,Satisfied and clear,Try to figure out,Occasionally,Analyze and fix,Often,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Slight discomfort,Noticeable
Well-balanced,Frequently,Predictable,No control,Reduce productivity,Controlled,In control,Very weak,Slightly tired,Try to figure out,Frequently,Analyze and fix,Often,Uncomfortable,Mostly clear,Frequent,Moderate,Not refreshed,Noticeable strain,Noticeable
Well-balanced,Rarely,Predictable,Moderate,Improve productivity,Busy,In control,Moderate,Satisfied and clear,Try to figure out,Occasionally,Feel stressed,Always,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Slight discomfort,Noticeable
Slightly high,Occasionally,Predictable,High,Improve productivity,Controlled,In control,Weak,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Sometimes unclear,Frequent,Moderate,Fully refreshed,Slight discomfort,Noticeable
Well-balanced,Rarely,Highly unpredictable,High,Major disruption,Busy,Struggling,Strong,Slightly tired,Clarify immediately,Occasionally,Adjust quickly,Often,Very comfortable,Clear,Rare,High,Mostly refreshed,Comfortable,Minimal
Slightly High,Rarely,Mostly predictable,Low,Slight impact,Controlled,Managing,Strong,Mentally drained,Delay starting,Rarely,Analyze and fix,Sometimes,Very comfortable,Often unclear,Frequent,High,Slightly refreshed,Comfortable,Mild
Well-balanced,Rarely,Sometimes unpredictable,Moderate,Reduce productivity,Controlled,Struggling,Moderate,Satisfied and clear,Try to figure out,Frequently,Adjust quickly,Often,Very comfortable,Mostly clear,Frequent,High,Slightly refreshed,Comfortable,Mild
Slightly high,Rarely,Highly unpredictable,High,Slight impact,Controlled,In control,Weak,Slightly tired,Clarify immediately,Rarely,Adjust quickly,Always,Comfortable,Sometimes unclear,Rare,Moderate,Fully refreshed,Comfortable,Minimal
Slightly high,Occasionally,Mostly predictable,Moderate,Slight impact,Busy,Managing,Weak,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Rarely,Comfortable,Mostly clear,Rare,High,Mostly refreshed,Slight discomfort,Noticeable
Slightly high,Almost daily,Sometimes unpredictable,High,Slight impact,Busy,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Slightly uncomfortable,Mostly clear,Rare,Low,Fully refreshed,Noticeable strain,Mild
Well-balanced,Frequently,Predictable,Moderate,Improve productivity,Controlled,In control,Weak,Mentally drained,Clarify immediately,Constantly,Feel stressed,Always,Very comfortable,Sometimes unclear,Frequent,Low,Fully refreshed,Noticeable strain,Minimal
Slightly high,Rarely,Highly unpredictable,Moderate,Improve productivity,Controlled,Managing,Strong,Mentally drained,Clarify immediately,Rarely,Analyze and fix,Sometimes,Slightly uncomfortable,Sometimes unclear,Occasional,Low,Fully refreshed,Slight discomfort,Minimal
High,Rarely,Predictable,Moderate,Improve productivity,Controlled,In control,Strong,Overwhelmed,Clarify immediately,Occasionally,Adjust quickly,Rarely,Very comfortable,Mostly clear,Frequent,Low,Slightly refreshed,Slight discomfort,Mild
Well-balanced,Occasionally,Mostly predictable,Moderate,Improve productivity,Controlled,In control,Strong,Slightly tired,Try to figure out,Rarely,Adjust quickly,Sometimes,Comfortable,Sometimes unclear,Occasional,High,Fully refreshed,Comfortable,Noticeable
High,Rarely,Sometimes unpredictable,Low,Slight impact,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Rarely,Feel stressed,Always,Comfortable,Mostly clear,Occasional,Moderate,Fully refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Predictable,Moderate,Reduce productivity,Hectic,In control,Weak,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Often,Uncomfortable,Clear,Rare,High,Mostly refreshed,Comfortable,Mild
Well-balanced,Occasionally,Sometimes unpredictable,Low,Slight impact,Controlled,Managing,Weak,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Sometimes unclear,Frequent,Moderate,Fully refreshed,Comfortable,Minimal
High,Rarely,Sometimes unpredictable,Moderate,Improve productivity,Chaotic,In control,Weak,Slightly tired,Try to figure out,Frequently,Adjust quickly,Always,Slightly uncomfortable,Sometimes unclear,Rare,Low,Fully refreshed,Comfortable,Mild
Well-balanced,Frequently,Sometimes unpredictable,High,Improve productivity,Controlled,In control,Moderate,Satisfied and clear,Delay starting,Rarely,Avoid dealing,Often,Very comfortable,Clear,Occasional,Very low,Fully refreshed,Slight discomfort,Noticeable
High,Frequently,Sometimes unpredictable,High,Slight impact,Controlled,Struggling,Strong,Mentally drained,Clarify immediately,Occasionally,Adjust quickly,Always,Comfortable,Mostly clear,Occasional,Low,Fully refreshed,Comfortable,Minimal
Well-balanced,Almost daily,Predictable,Low,Slight impact,Hectic,Overwhelmed,Strong,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Sometimes,Uncomfortable,Mostly clear,Rare,High,Slightly refreshed,Noticeable strain,Minimal
High,Almost Daily,Sometimes unpredictable,Low,Improve productivity,Controlled,Managing,Strong,Mentally drained,Try to figure out,Frequently,Adjust quickly,Rarely,Very comfortable,Mostly clear,Occasional,Moderate,Mostly refreshed,Comfortable,Minimal
Slightly high,Occasionally,Predictable,Moderate,Improve productivity,Controlled,In control,Moderate,Slightly tired,Try to figure out,Rarely,Adjust quickly,Often,Comfortable,Sometimes unclear,Frequent,Moderate,Mostly refreshed,Slight discomfort,Noticeable
Well-balanced,Rarely,Sometimes unpredictable,Low,Slight impact,Busy,Managing,Very weak,Satisfied and clear,Delay starting,Rarely,Adjust quickly,Sometimes,Very comfortable,Clear,Occasional,Moderate,Fully refreshed,Comfortable,Mild
Slightly high,Rarely,Sometimes unpredictable,Moderate,Slight impact,Busy,Managing,Strong,Satisfied and clear,Clarify immediately,Occasionally,Adjust quickly,Often,Slightly uncomfortable,Clear,Occasional,High,Mostly refreshed,Slight discomfort,Minimal
Very high,Occasionally,Sometimes unpredictable,Low,Improve productivity,Controlled,Struggling,Strong,Mentally drained,Clarify immediately,Frequently,Feel stressed,Often,Very comfortable,Often unclear,Occasional,High,Mostly refreshed,Noticeable strain,Minimal
Slightly high,Rarely,Predictable,High,Reduce productivity,Controlled,Managing,Moderate,Slightly tired,Delay starting,Occasionally,Analyze and fix,Sometimes,Very comfortable,Clear,Occasional,Low,Mostly refreshed,Slight discomfort,Noticeable
Well-balanced,Almost daily,Mostly predictable,High,Improve productivity,Busy,Struggling,Strong,Satisfied and clear,Clarify immediately,Frequently,Analyze and fix,Always,Slightly uncomfortable,Often unclear,Rare,Moderate,Fully refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Sometimes unpredictable,No control,Improve productivity,Busy,In control,Strong,Mentally drained,Delay starting,Occasionally,Analyze and fix,Always,Slightly uncomfortable,Mostly clear,Occasional,Low,Fully refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Sometimes unpredictable,Moderate,Improve productivity,Controlled,Overwhelmed,Strong,Slightly tired,Clarify immediately,Rarely,Adjust quickly,Sometimes,Very comfortable,Clear,Constant,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Predictable,High,Reduce productivity,Controlled,In control,Strong,Slightly tired,Delay starting,Rarely,Analyze and fix,Often,Uncomfortable,Sometimes unclear,Occasional,Moderate,Slightly refreshed,Comfortable,Noticeable
High,Frequently,Mostly predictable,Moderate,Improve productivity,Hectic,In control,Strong,Mentally drained,Delay starting,Rarely,Adjust quickly,Always,Very comfortable,Clear,Rare,Moderate,Not refreshed,Slight discomfort,Minimal
Well-balanced,Rarely,Predictable,High,Reduce productivity,Busy,Struggling,Weak,Mentally drained,Clarify immediately,Occasionally,Analyze and fix,Sometimes,Slightly uncomfortable,Sometimes unclear,Frequent,High,Mostly refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Predictable,High,Improve productivity,Controlled,Managing,Weak,Slightly tired,Clarify immediately,Frequently,Analyze and fix,Often,Very comfortable,Mostly clear,Rare,High,Slightly refreshed,Slight discomfort,Mild
Well-balanced,Occasionally,Highly unpredictable,High,Improve productivity,Controlled,Managing,Strong,Slightly tired,Try to figure out,Occasionally,Analyze and fix,Sometimes,Comfortable,Clear,Rare,High,Slightly refreshed,Comfortable,Minimal
High,Occasionally,Sometimes unpredictable,High,Improve productivity,Controlled,Struggling,Strong,Mentally drained,Clarify immediately,Rarely,Adjust quickly,Always,Very comfortable,Clear,Frequent,Low,Slightly refreshed,Comfortable,Mild
Well-balanced,Occasionally,Sometimes unpredictable,Moderate,Reduce productivity,Busy,Struggling,Moderate,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Slightly uncomfortable,Mostly clear,Occasional,High,Fully refreshed,Noticeable strain,High
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Hectic,Overwhelmed,Moderate,Slightly tired,Try to figure out,Frequently,Analyze and fix,Sometimes,Slightly uncomfortable,Sometimes unclear,Frequent,High,Fully refreshed,Slight discomfort,Noticeable
Slightly high,Occasionally,Predictable,Low,Improve productivity,Busy,Managing,Strong,Mentally drained,Clarify immediately,Rarely,Adjust quickly,Rarely,Comfortable,Clear,Rare,High,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Occasionally,Predictable,Moderate,Improve productivity,Hectic,In control,Moderate,Overwhelmed,Clarify immediately,Occasionally,Adjust quickly,Rarely,Very comfortable,Mostly clear,Frequent,Moderate,Fully refreshed,Noticeable strain,Minimal
Slightly high,Frequently,Predictable,Moderate,Reduce productivity,Chaotic,Struggling,Moderate,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Always,Slightly uncomfortable,Often unclear,Rare,High,Fully refreshed,Uncomfortable,Noticeable
Slightly high,Rarely,Predictable,No control,Improve productivity,Hectic,Overwhelmed,Strong,Satisfied and clear,Try to figure out,Occasionally,Feel stressed,Always,Very comfortable,Mostly clear,Frequent,High,Mostly refreshed,Slight discomfort,Minimal
Well-balanced,Frequently,Highly unpredictable,No control,Improve productivity,Hectic,In control,Strong,Mentally drained,Clarify immediately,Constantly,Analyze and fix,Always,Very comfortable,Clear,Rare,Moderate,Slightly refreshed,Uncomfortable,Minimal
Well-balanced,Occasionally,Highly unpredictable,High,Reduce productivity,Chaotic,In control,Strong,Satisfied and clear,Try to figure out,Occasionally,Feel stressed,Often,Very comfortable,Clear,Rare,Low,Fully refreshed,Noticeable strain,Minimal
High,Rarely,Mostly predictable,High,Improve productivity,Hectic,Managing,Strong,Mentally drained,Try to figure out,Occasionally,Adjust quickly,Always,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Slight discomfort,Mild
Well-balanced,Frequently,Predictable,High,Slight impact,Controlled,In control,Very weak,Slightly tired,Delay starting,Rarely,Adjust quickly,Sometimes,Slightly uncomfortable,Clear,Constant,Moderate,Fully refreshed,Comfortable,Minimal
Slightly high,Rarely,Mostly predictable,Moderate,Slight impact,Controlled,Struggling,Strong,Mentally drained,Clarify immediately,Rarely,Feel stressed,Sometimes,Comfortable,Clear,Rare,Low,Not refreshed,Comfortable,High
High,Occasionally,Sometimes unpredictable,Low,Slight impact,Hectic,Struggling,Strong,Satisfied and clear,Delay starting,Occasionally,Analyze and fix,Always,Slightly uncomfortable,Mostly clear,Occasional,Moderate,Fully refreshed,Comfortable,Minimal
High,Occasionally,Sometimes unpredictable,High,Slight impact,Controlled,In control,Moderate,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Clear,Rare,Moderate,Fully refreshed,Comfortable,Minimal
Very high,Occasionally,Sometimes unpredictable,Low,Major disruption,Busy,In control,Moderate,Mentally drained,Clarify immediately,Frequently,Avoid dealing,Often,Very comfortable,Sometimes unclear,Rare,Low,Fully refreshed,Comfortable,Minimal
Very high,Occasionally,Sometimes unpredictable,High,Reduce productivity,Busy,In control,Moderate,Slightly tired,Delay starting,Rarely,Analyze and fix,Always,Comfortable,Mostly clear,Constant,High,Slightly refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Sometimes unpredictable,High,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Sometimes,Very comfortable,Clear,Rare,High,Not refreshed,Slight discomfort,Minimal
Very HIgh,Rarely,Mostly predictable,High,Improve productivity,Controlled,In control,Weak,Satisfied and clear,Try to figure out,Rarely,Feel stressed,Rarely,Comfortable,Mostly clear,Rare,High,Not refreshed,Noticeable strain,Noticeable
High,Occasionally,Mostly predictable,High,Slight impact,Busy,Struggling,Strong,Mentally drained,Try to figure out,Frequently,Analyze and fix,Often,Slightly uncomfortable,Mostly clear,Occasional,High,Slightly refreshed,Noticeable strain,Noticeable
Well-balanced,Occasionally,Sometimes unpredictable,High,Slight impact,Controlled,Struggling,Weak,Satisfied and clear,Clarify immediately,Frequently,Analyze and fix,Often,Very comfortable,Clear,Rare,Low,Mostly refreshed,Slight discomfort,Mild
Well-balanced,Occasionally,Highly unpredictable,Moderate,Slight impact,Busy,Managing,Strong,Satisfied and clear,Delay starting,Constantly,Analyze and fix,Often,Slightly uncomfortable,Clear,Constant,High,Mostly refreshed,Comfortable,Minimal
Well-balanced,Frequently,Predictable,Low,Slight impact,Controlled,Managing,Weak,Slightly tired,Clarify immediately,Occasionally,Analyze and fix,Always,Very comfortable,Clear,Rare,High,Mostly refreshed,Comfortable,Minimal
High,Frequently,Mostly predictable,Moderate,Improve productivity,Hectic,Managing,Strong,Slightly tired,Try to figure out,Occasionally,Feel stressed,Always,Comfortable,Mostly clear,Occasional,Moderate,Fully refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Sometimes unpredictable,No control,Improve productivity,Busy,In control,Moderate,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Very comfortable,Clear,Frequent,High,Mostly refreshed,Comfortable,Mild
Slightly high,Occasionally,Mostly predictable,High,Slight impact,Busy,In control,Strong,Satisfied and clear,Delay starting,Rarely,Analyze and fix,Often,Very comfortable,Clear,Frequent,Moderate,Not refreshed,Comfortable,Noticeable
Well-balanced,Occasionally,Predictable,High,Reduce productivity,Busy,In control,Weak,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Always,Uncomfortable,Mostly clear,Occasional,Moderate,Fully refreshed,Comfortable,Mild
High,Rarely,Predictable,High,Improve productivity,Controlled,Struggling,Strong,Mentally drained,Clarify immediately,Rarely,Feel stressed,Sometimes,Very comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Minimal
Slightly high,Occasionally,Mostly predictable,High,Slight impact,Controlled,In control,Moderate,Slightly tired,Clarify immediately,Constantly,Feel stressed,Always,Very comfortable,Mostly clear,Rare,High,Slightly refreshed,Comfortable,Minimal
Slightly high,Frequently,Sometimes unpredictable,High,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Try to figure out,Rarely,Adjust quickly,Always,Comfortable,Sometimes unclear,Frequent,Moderate,Fully refreshed,Slight discomfort,Mild
Slightly high,Frequently,Sometimes unpredictable,High,Reduce productivity,Busy,In control,Strong,Overwhelmed,Clarify immediately,Constantly,Feel stressed,Always,Uncomfortable,Mostly clear,Rare,Low,Fully refreshed,Slight discomfort,Minimal
Very high,Almost Daily,Predictable,Moderate,Improve productivity,Controlled,Struggling,Strong,Mentally drained,Try to figure out,Rarely,Adjust quickly,Always,Comfortable,Sometimes unclear,Rare,Moderate,Not refreshed,Comfortable,Mild
Slightly high,Frequently,Sometimes unpredictable,Moderate,Improve productivity,Busy,In control,Strong,Slightly tired,Clarify immediately,Occasionally,Adjust quickly,Always,Slightly uncomfortable,Clear,Occasional,Low,Fully refreshed,Comfortable,Minimal
Slightly high,Rarely,Predictable,High,Reduce productivity,Controlled,In control,Weak,Mentally drained,Try to figure out,Rarely,Analyze and fix,Often,Very comfortable,Clear,Occasional,Low,Slightly refreshed,Comfortable,High
Well-balanced,Occasionally,Mostly predictable,High,Improve productivity,Busy,Managing,Moderate,Satisfied and clear,Clarify immediately,Frequently,Feel stressed,Often,Comfortable,Often unclear,Occasional,Moderate,Mostly refreshed,Slight discomfort,Minimal
Slightly high,Rarely,Predictable,Moderate,Improve productivity,Busy,Managing,Strong,Slightly tired,Clarify immediately,Occasionally,Analyze and fix,Always,Very comfortable,Sometimes unclear,Occasional,Moderate,Mostly refreshed,Comfortable,Minimal
High,Occasionally,Sometimes unpredictable,High,Improve productivity,Chaotic,In control,Moderate,Slightly tired,Delay starting,Occasionally,Analyze and fix,Always,Comfortable,Sometimes unclear,Frequent,High,Fully refreshed,Comfortable,Minimal
Slightly high,Occasionally,Predictable,Moderate,Improve productivity,Controlled,Managing,Very weak,Overwhelmed,Clarify immediately,Occasionally,Analyze and fix,Often,Uncomfortable,Often unclear,Frequent,High,Fully refreshed,Slight discomfort,Mild
Well-balanced,Frequently,Mostly predictable,High,Slight impact,Controlled,Managing,Weak,Satisfied and clear,Delay starting,Rarely,Adjust quickly,Rarely,Very comfortable,Mostly clear,Rare,High,Slightly refreshed,Comfortable,Mild
Very HIgh,Occasionally,Predictable,High,Slight impact,Controlled,Overwhelmed,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Sometimes unclear,Rare,Moderate,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Rarely,Highly unpredictable,High,Improve productivity,Hectic,In control,Strong,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Very comfortable,Often unclear,Rare,High,Not refreshed,Slight discomfort,Minimal
Well-balanced,Rarely,Highly unpredictable,High,Improve productivity,Controlled,Managing,Very weak,Mentally drained,Try to figure out,Frequently,Feel stressed,Always,Slightly uncomfortable,Mostly clear,Frequent,Very low,Fully refreshed,Comfortable,Noticeable
Slightly high,Rarely,Sometimes unpredictable,High,Slight impact,Chaotic,In control,Moderate,Overwhelmed,Clarify immediately,Frequently,Analyze and fix,Often,Very comfortable,Clear,Frequent,Moderate,Mostly refreshed,Comfortable,Mild
High,Rarely,Predictable,High,Reduce productivity,Controlled,Managing,Strong,Mentally drained,Clarify immediately,Frequently,Adjust quickly,Often,Very comfortable,Clear,Occasional,Low,Fully refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Sometimes unpredictable,Moderate,Improve productivity,Controlled,In control,Very weak,Mentally drained,Clarify immediately,Frequently,Feel stressed,Sometimes,Very comfortable,Clear,Occasional,High,Fully refreshed,Slight discomfort,Minimal
Slightly high,Rarely,Mostly predictable,Low,Major disruption,Controlled,In control,Strong,Satisfied and clear,Delay starting,Frequently,Analyze and fix,Always,Very comfortable,Sometimes unclear,Occasional,High,Fully refreshed,Noticeable strain,Mild
Slightly high,Almost daily,Mostly predictable,High,Improve productivity,Controlled,Overwhelmed,Strong,Satisfied and clear,Try to figure out,Rarely,Feel stressed,Often,Very comfortable,Clear,Occasional,High,Fully refreshed,Noticeable strain,Minimal
