Q1,Q2,Q3,Q4,Q5,Q6,Q10,Q11,Q12,Q13,Q14,Q15,Q19,Q20,Q21,Q22,Q25,Q26,Q27,Q28
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Always,Very comfortable,Sometimes unclear,Occasional,High,Fully refreshed,Slight discomfort,Minimal
Slightly high,Rarely,Sometimes unpredictable,Moderate,Improve productivity,Controlled,In control,Weak,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Often,Comfortable,Clear,Rare,Low,Fully refreshed,Comfortable,Mild
Well-balanced,Frequently,Predictable,High,Slight impact,Busy,In control,Strong,Mentally drained,Clarify immediately,Rarely,Adjust quickly,Always,Slightly uncomfortable,Mostly clear,Rare,High,Fully refreshed,Slight discomfort,Minimal
Slightly high,Rarely,Highly unpredictable,Low,Improve productivity,Hectic,In control,Moderate,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Always,Comfortable,Mostly clear,Rare,Moderate,Fully refreshed,Comfortable,Noticeable
Well-balanced,Rarely,Predictable,High,Slight impact,Hectic,Managing,Very weak,Satisfied and clear,Try to figure out,Rarely,Adjust quickly,Often,Very comfortable,Clear,Occasional,High,Mostly refreshed,Comfortable,Mild
High,Rarely,Mostly predictable,High,Slight impact,Controlled,Managing,Weak,Slightly tired,Try to figure out,Rarely,Analyze and fix,Often,Comfortable,Clear,Occasional,High,Slightly refreshed,Comfortable,Minimal
Slightly high,Rarely,Predictable,High,Slight impact,Busy,In control,Weak,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Minimal
Slightly high,Rarely,Mostly predictable,Low,Improve productivity,Busy,In control,Weak,Slightly tired,Clarify immediately,Frequently,Adjust quickly,Always,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Minimal
Slightly high,Rarely,Predictable,High,Improve productivity,Hectic,In control,Strong,Slightly tired,Clarify immediately,Frequently,Analyze and fix,Rarely,Very comfortable,Clear,Rare,High,Slightly refreshed,Comfortable,Noticeable
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Controlled,Managing,Weak,Slightly tired,Clarify immediately,Rarely,Feel stressed,Always,Comfortable,Clear,Frequent,Moderate,Slightly refreshed,Comfortable,Minimal
Slightly high,Occasionally,Predictable,High,Improve productivity,Controlled,In control,Strong,Slightly tired,Try to figure out,Rarely,Analyze and fix,Often,Very comfortable,Mostly clear,Rare,Moderate,Fully refreshed,Slight discomfort,Mild
Slightly High,Occasionally,Highly unpredictable,Low,Improve productivity,Controlled,In control,Weak,Slightly tired,Clarify immediately,Rarely,Feel stressed,Often,Slightly uncomfortable,Clear,Constant,Moderate,Mostly refreshed,Comfortable,Minimal
Slightly high,Occasionally,Predictable,High,Slight impact,Controlled,Managing,Moderate,Slightly tired,Clarify immediately,Rarely,Adjust quickly,Always,Very comfortable,Mostly clear,Rare,Moderate,Mostly refreshed,Comfortable,Mild
Well-balanced,Almost daily,Mostly predictable,Moderate,Improve productivity,Controlled,Struggling,Weak,Slightly tired,Try to figure out,Rarely,Analyze and fix,Always,Slightly uncomfortable,Mostly clear,Rare,High,Mostly refreshed,Comfortable,Mild
Slightly high,Rarely,Mostly predictable,Moderate,Slight impact,Controlled,In control,Moderate,Satisfied and clear,Clarify immediately,Frequently,Analyze and fix,Always,Very comfortable,Mostly clear,Occasional,Moderate,Fully refreshed,Comfortable,Minimal
Slightly high,Rarely,Mostly predictable,Low,Improve productivity,Controlled,Managing,Moderate,Slightly tired,Avoid it,Occasionally,Analyze and fix,Rarely,Very comfortable,Clear,Occasional,High,Fully refreshed,Comfortable,Mild
Slightly high,Rarely,Predictable,Moderate,Slight impact,Controlled,In control,Moderate,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Often,Comfortable,Clear,Occasional,Moderate,Mostly refreshed,Slight discomfort,Minimal
Well-balanced,Rarely,Predictable,High,Slight impact,Busy,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Sometimes,Very comfortable,Clear,Rare,High,Fully refreshed,Slight discomfort,Minimal
Slightly high,Almost daily,Predictable,Moderate,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Avoid it,Occasionally,Analyze and fix,Always,Comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Minimal
Slightly high,Rarely,Predictable,No control,Improve productivity,Controlled,Managing,Strong,Slightly tired,Clarify immediately,Rarely,Adjust quickly,Always,Comfortable,Clear,Occasional,High,Mostly refreshed,Comfortable,Mild
High,Occasionally,Sometimes unpredictable,Moderate,Improve productivity,Controlled,Struggling,Weak,Slightly tired,Clarify immediately,Rarely,Adjust quickly,Often,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Minimal
High,Frequently,Mostly predictable,No control,Improve productivity,Controlled,In control,Strong,Slightly tired,Try to figure out,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,High,Mostly refreshed,Slight discomfort,Minimal
Well-balanced,Rarely,Mostly predictable,Moderate,Major disruption,Controlled,Managing,Moderate,Mentally drained,Clarify immediately,Frequently,Analyze and fix,Often,Comfortable,Clear,Frequent,Moderate,Fully refreshed,Comfortable,Minimal
Slightly high,Frequently,Predictable,High,Improve productivity,Busy,In control,Strong,Satisfied and clear,Delay starting,Occasionally,Analyze and fix,Always,Comfortable,Clear,Constant,High,Fully refreshed,Comfortable,Noticeable
Slightly high,Occasionally,Sometimes unpredictable,Moderate,Improve productivity,Busy,Managing,Moderate,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Comfortable,Clear,Rare,High,Fully refreshed,Noticeable strain,Minimal
High,Occasionally,Predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Occasionally,Avoid dealing,Often,Uncomfortable,Sometimes unclear,Constant,Low,Mostly refreshed,Comfortable,Mild
Well-balanced,Rarely,Predictable,High,Slight impact,Busy,Struggling,Weak,Slightly tired,Clarify immediately,Rarely,Adjust quickly,Always,Slightly uncomfortable,Mostly clear,Rare,High,Fully refreshed,Slight discomfort,Minimal
Slightly high,Occasionally,Mostly predictable,High,Improve productivity,Controlled,Managing,Weak,Slightly tired,Clarify immediately,Rarely,Adjust quickly,Always,Very comfortable,Mostly clear,Occasional,Low,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Controlled,In control,Moderate,Satisfied and clear,Delay starting,Rarely,Adjust quickly,Often,Very comfortable,Clear,Rare,High,Slightly refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Mostly predictable,High,Major disruption,Hectic,In control,Moderate,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Often,Very comfortable,Clear,Occasional,High,Not refreshed,Slight discomfort,Minimal
Well-balanced,Occasionally,Predictable,Moderate,Slight impact,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Clear,Rare,Moderate,Fully refreshed,Slight discomfort,Mild
Slightly high,Rarely,Predictable,Moderate,Improve productivity,Controlled,Struggling,Strong,Mentally drained,Delay starting,Occasionally,Analyze and fix,Always,Very comfortable,Clear,Occasional,High,Fully refreshed,Comfortable,Minimal
Slightly high,Occasionally,Predictable,Moderate,Improve productivity,Busy,Struggling,Weak,Overwhelmed,Clarify immediately,Rarely,Analyze and fix,Sometimes,Comfortable,Mostly clear,Rare,High,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Occasionally,Predictable,Moderate,Slight impact,Busy,Managing,Moderate,Mentally drained,Clarify immediately,Rarely,Adjust quickly,Sometimes,Very comfortable,Clear,Occasional,High,Not refreshed,Slight discomfort,Minimal
Well-balanced,Occasionally,Predictable,Moderate,Reduce productivity,Busy,In control,Strong,Slightly tired,Delay starting,Rarely,Analyze and fix,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Minimal
High,Rarely,Predictable,High,Slight impact,Controlled,Struggling,Strong,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Comfortable,Clear,Rare,Low,Mostly refreshed,Slight discomfort,Minimal
High,Occasionally,Mostly predictable,Moderate,Improve productivity,Controlled,Struggling,Strong,Slightly tired,Clarify immediately,Rarely,Adjust quickly,Sometimes,Slightly uncomfortable,Sometimes unclear,Rare,High,Fully refreshed,Comfortable,Minimal
High,Rarely,Predictable,High,Slight impact,Controlled,Managing,Strong,Slightly tired,Try to figure out,Rarely,Analyze and fix,Often,Very comfortable,Mostly clear,Rare,Moderate,Fully refreshed,Comfortable,Mild
Slightly high,Rarely,Mostly predictable,Moderate,Reduce productivity,Controlled,In control,Strong,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Often,Comfortable,Mostly clear,Occasional,High,Fully refreshed,Comfortable,Mild
Well-balanced,Rarely,Predictable,High,Improve productivity,Controlled,In control,Weak,Satisfied and clear,Avoid it,Occasionally,Adjust quickly,Always,Comfortable,Clear,Occasional,Low,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Rarely,Predictable,No control,Improve productivity,Busy,Managing,Strong,Satisfied and clear,Clarify immediately,Frequently,Adjust quickly,Often,Very comfortable,Clear,Rare,Moderate,Mostly refreshed,Comfortable,Mild
Slightly high,Rarely,Mostly predictable,Low,Improve productivity,Controlled,In control,Moderate,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,High,Mostly refreshed,Slight discomfort,Mild
Well-balanced,Frequently,Predictable,High,Slight impact,Busy,Managing,Strong,Satisfied and clear,Clarify immediately,Rarely,Feel stressed,Often,Very comfortable,Clear,Rare,High,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Rarely,Predictable,Moderate,Slight impact,Busy,Managing,Strong,Slightly tired,Avoid it,Occasionally,Adjust quickly,Often,Very comfortable,Sometimes unclear,Rare,Moderate,Fully refreshed,Comfortable,Noticeable
Slightly high,Rarely,Sometimes unpredictable,Low,Slight impact,Controlled,In control,Moderate,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Clear,Rare,High,Fully refreshed,Slight discomfort,Minimal
Slightly high,Rarely,Predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Occasionally,Predictable,High,Improve productivity,Controlled,Managing,Weak,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Sometimes,Very comfortable,Mostly clear,Rare,Moderate,Slightly refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Clear,Occasional,High,Mostly refreshed,Comfortable,Minimal
High,Frequently,Mostly predictable,Moderate,Slight impact,Controlled,In control,Strong,Mentally drained,Delay starting,Rarely,Analyze and fix,Sometimes,Very comfortable,Clear,Frequent,High,Fully refreshed,Noticeable strain,Minimal
Slightly high,Rarely,Predictable,High,Reduce productivity,Busy,In control,Strong,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Often,Very comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Noticeable
Slightly high,Occasionally,Sometimes unpredictable,Moderate,Improve productivity,Controlled,Struggling,Moderate,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Often,Comfortable,Sometimes unclear,Rare,Low,Not refreshed,Slight discomfort,Mild
Slightly high,Rarely,Predictable,High,Reduce productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Constantly,Adjust quickly,Always,Comfortable,Mostly clear,Rare,Moderate,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Rarely,Sometimes unpredictable,High,Improve productivity,Busy,In control,Strong,Slightly tired,Delay starting,Rarely,Analyze and fix,Often,Comfortable,Clear,Rare,High,Slightly refreshed,Slight discomfort,Minimal
Well-balanced,Occasionally,Predictable,High,Improve productivity,Controlled,Managing,Strong,Slightly tired,Try to figure out,Occasionally,Analyze and fix,Often,Very comfortable,Clear,Occasional,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Predictable,High,Improve productivity,Controlled,In control,Strong,Slightly tired,Clarify immediately,Occasionally,Analyze and fix,Often,Very comfortable,Clear,Rare,Low,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Frequently,Sometimes unpredictable,High,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Try to figure out,Occasionally,Feel stressed,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Predictable,High,Improve productivity,Controlled,Managing,Moderate,Satisfied and clear,Clarify immediately,Occasionally,Adjust quickly,Often,Very comfortable,Mostly clear,Occasional,Moderate,Mostly refreshed,Slight discomfort,Mild
Well-balanced,Almost daily,Highly unpredictable,High,Reduce productivity,Hectic,In control,Weak,Satisfied and clear,Clarify immediately,Frequently,Analyze and fix,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Sometimes unpredictable,Moderate,Slight impact,Busy,In control,Moderate,Overwhelmed,Delay starting,Frequently,Analyze and fix,Rarely,Comfortable,Clear,Rare,Low,Slightly refreshed,Comfortable,Minimal
Well-balanced,Rarely,Sometimes unpredictable,High,Slight impact,Busy,In control,Strong,Satisfied and clear,Try to figure out,Frequently,Analyze and fix,Often,Slightly uncomfortable,Mostly clear,Rare,High,Mostly refreshed,Comfortable,Minimal
Well-balanced,Rarely,Predictable,Moderate,Improve productivity,Controlled,Managing,Strong,Mentally drained,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Clear,Frequent,Moderate,Mostly refreshed,Slight discomfort,Minimal
Well-balanced,Occasionally,Mostly predictable,High,Improve productivity,Controlled,In control,Strong,Slightly tired,Try to figure out,Rarely,Analyze and fix,Always,Very comfortable,Clear,Occasional,High,Fully refreshed,Comfortable,Mild
Well-balanced,Rarely,Highly unpredictable,Low,Slight impact,Controlled,In control,Strong,Overwhelmed,Clarify immediately,Rarely,Analyze and fix,Often,Comfortable,Clear,Rare,High,Slightly refreshed,Comfortable,Minimal
Well-balanced,Rarely,Mostly predictable,High,Slight impact,Hectic,Managing,Very weak,Satisfied and clear,Delay starting,Rarely,Feel stressed,Sometimes,Comfortable,Clear,Frequent,Moderate,Fully refreshed,Comfortable,Minimal
High,Rarely,Predictable,High,Slight impact,Controlled,Struggling,Strong,Slightly tired,Clarify immediately,Occasionally,Analyze and fix,Always,Very comfortable,Sometimes unclear,Occasional,High,Slightly refreshed,Slight discomfort,Mild
Slightly high,Occasionally,Predictable,Low,Improve productivity,Controlled,In control,Strong,Mentally drained,Clarify immediately,Occasionally,Adjust quickly,Always,Comfortable,Mostly clear,Rare,High,Mostly refreshed,Uncomfortable,Mild
Well-balanced,Occasionally,Sometimes unpredictable,Moderate,Improve productivity,Controlled,Managing,Strong,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Slightly uncomfortable,Mostly clear,Rare,Low,Mostly refreshed,Comfortable,Mild
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Controlled,In control,Weak,Mentally drained,Clarify immediately,Rarely,Analyze and fix,Sometimes,Slightly uncomfortable,Mostly clear,Occasional,High,Fully refreshed,Comfortable,Mild
Slightly high,Rarely,Predictable,High,Slight impact,Controlled,In control,Moderate,Mentally drained,Clarify immediately,Rarely,Feel stressed,Often,Very comfortable,Mostly clear,Rare,Moderate,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Predictable,High,Slight impact,Controlled,In control,Moderate,Satisfied and clear,Try to figure out,Occasionally,Analyze and fix,Always,Very comfortable,Mostly clear,Occasional,Low,Slightly refreshed,Slight discomfort,Minimal
Well-balanced,Rarely,Predictable,High,Improve productivity,Controlled,Managing,Moderate,Satisfied and clear,Try to figure out,Frequently,Analyze and fix,Always,Uncomfortable,Clear,Rare,Moderate,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Mostly predictable,High,Slight impact,Controlled,In control,Moderate,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Sometimes,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Noticeable strain,Mild
Slightly high,Rarely,Mostly predictable,High,Slight impact,Controlled,Struggling,Very weak,Slightly tired,Try to figure out,Occasionally,Feel stressed,Often,Comfortable,Clear,Occasional,Moderate,Not refreshed,Comfortable,Minimal
Well-balanced,Rarely,Predictable,High,Slight impact,Hectic,In control,Strong,Slightly tired,Try to figure out,Occasionally,Adjust quickly,Often,Very comfortable,Sometimes unclear,Frequent,Moderate,Fully refreshed,Noticeable strain,Mild
Well-balanced,Rarely,Predictable,High,Improve productivity,Controlled,In control,Moderate,Satisfied and clear,Clarify immediately,Frequently,Analyze and fix,Sometimes,Very comfortable,Clear,Occasional,High,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Rarely,Predictable,Moderate,Improve productivity,Busy,Managing,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Sometimes,Very comfortable,Clear,Rare,Moderate,Mostly refreshed,Noticeable strain,Minimal
High,Frequently,Sometimes unpredictable,Moderate,Improve productivity,Controlled,In control,Strong,Mentally drained,Clarify immediately,Occasionally,Adjust quickly,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Minimal
Slightly High,Rarely,Highly unpredictable,High,Improve productivity,Busy,In control,Very weak,Slightly tired,Try to figure out,Rarely,Adjust quickly,Always,Very comfortable,Mostly clear,Rare,Moderate,Fully refreshed,Comfortable,Minimal
Slightly high,Rarely,Mostly predictable,High,Improve productivity,Controlled,Struggling,Strong,Satisfied and clear,Try to figure out,Frequently,Analyze and fix,Sometimes,Very comfortable,Clear,Rare,Moderate,Slightly refreshed,Comfortable,Minimal
Well-balanced,Rarely,Predictable,High,Slight impact,Controlled,In control,Very weak,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Comfortable,Clear,Rare,High,Slightly refreshed,Comfortable,Mild
Slightly high,Frequently,Mostly predictable,High,Improve productivity,Busy,In control,Weak,Satisfied and clear,Try to figure out,Rarely,Feel stressed,Rarely,Very comfortable,Clear,Rare,High,Fully refreshed,Slight discomfort,Noticeable
Slightly high,Rarely,Predictable,High,Improve productivity,Controlled,Managing,Moderate,Satisfied and clear,Delay starting,Rarely,Adjust quickly,Sometimes,Comfortable,Clear,Rare,High,Mostly refreshed,Noticeable strain,Minimal
High,Rarely,Predictable,High,Slight impact,Controlled,Managing,Moderate,Mentally drained,Clarify immediately,Occasionally,Adjust quickly,Often,Very comfortable,Mostly clear,Rare,Very low,Fully refreshed,Comfortable,Noticeable
Well-balanced,Occasionally,Mostly predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Sometimes,Comfortable,Clear,Occasional,High,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Frequently,Mostly predictable,High,Improve productivity,Hectic,In control,Strong,Slightly tired,Clarify immediately,Rarely,Feel stressed,Sometimes,Very comfortable,Clear,Occasional,Moderate,Mostly refreshed,Slight discomfort,Minimal
Well-balanced,Rarely,Predictable,Moderate,Improve productivity,Busy,In control,Moderate,Slightly tired,Clarify immediately,Rarely,Adjust quickly,Often,Very comfortable,Mostly clear,Occasional,Very low,Slightly refreshed,Slight discomfort,Noticeable
Slightly high,Occasionally,Predictable,Moderate,Slight impact,Hectic,Managing,Strong,Slightly tired,Clarify immediately,Frequently,Adjust quickly,Rarely,Very comfortable,Sometimes unclear,Rare,Moderate,Fully refreshed,Slight discomfort,Minimal
Slightly high,Rarely,Mostly predictable,Moderate,Slight impact,Busy,In control,Moderate,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,Low,Mostly refreshed,Comfortable,Mild
High,Rarely,Predictable,High,Reduce productivity,Busy,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Rarely,Comfortable,Sometimes unclear,Occasional,Moderate,Mostly refreshed,Comfortable,Minimal
Well-balanced,Frequently,Mostly predictable,Moderate,Improve productivity,Controlled,In control,Moderate,Overwhelmed,Try to figure out,Occasionally,Analyze and fix,Always,Very comfortable,Mostly clear,Occasional,Moderate,Mostly refreshed,Comfortable,Noticeable
Well-balanced,Frequently,Mostly predictable,Moderate,Slight impact,Busy,Managing,Strong,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Very comfortable,Clear,Constant,Moderate,Fully refreshed,Comfortable,Mild
Well-balanced,Occasionally,Highly unpredictable,Moderate,Slight impact,Controlled,Overwhelmed,Strong,Mentally drained,Clarify immediately,Rarely,Analyze and fix,Always,Slightly uncomfortable,Sometimes unclear,Occasional,Low,Mostly refreshed,Comfortable,Minimal
Slightly high,Rarely,Mostly predictable,Moderate,Improve productivity,Controlled,In control,Moderate,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Comfortable,Often unclear,Rare,High,Fully refreshed,Comfortable,Minimal
Very high,Almost daily,Predictable,Moderate,Improve productivity,Controlled,Managing,Moderate,Mentally drained,Try to figure out,Rarely,Analyze and fix,Often,Very comfortable,Clear,Rare,Moderate,Fully refreshed,Comfortable,Minimal
Slightly high,Rarely,Mostly predictable,Moderate,Slight impact,Controlled,Managing,Strong,Slightly tired,Delay starting,Occasionally,Analyze and fix,Often,Very comfortable,Mostly clear,Occasional,High,Mostly refreshed,Comfortable,Minimal
High,Rarely,Predictable,High,Slight impact,Busy,Struggling,Strong,Mentally drained,Clarify immediately,Rarely,Feel stressed,Always,Very comfortable,Mostly clear,Rare,Low,Mostly refreshed,Slight discomfort,Minimal
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Controlled,In control,Weak,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Mostly clear,Constant,High,Slightly refreshed,Slight discomfort,Minimal
Well-balanced,Occasionally,Sometimes unpredictable,High,Improve productivity,Controlled,Managing,Strong,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Always,Very comfortable,Clear,Occasional,High,Mostly refreshed,Comfortable,Mild
Well-balanced,Rarely,Predictable,High,Improve productivity,Busy,In control,Strong,Satisfied and clear,Delay starting,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Occasional,High,Slightly refreshed,Comfortable,Minimal
Slightly high,Rarely,Mostly predictable,Low,Improve productivity,Controlled,In control,Weak,Slightly tired,Try to figure out,Frequently,Adjust quickly,Always,Comfortable,Clear,Frequent,High,Fully refreshed,Slight discomfort,Minimal
Well-balanced,Frequently,Mostly predictable,High,Improve productivity,Busy,Managing,Strong,Satisfied and clear,Clarify immediately,Frequently,Analyze and fix,Rarely,Very comfortable,Sometimes unclear,Rare,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Predictable,Low,Improve productivity,Controlled,In control,Weak,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Sometimes,Slightly uncomfortable,Clear,Occasional,High,Mostly refreshed,Slight discomfort,Mild
High,Almost Daily,Mostly predictable,High,Slight impact,Hectic,Managing,Moderate,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Comfortable,Mostly clear,Occasional,High,Fully refreshed,Uncomfortable,Mild
Well-balanced,Rarely,Mostly predictable,Moderate,Improve productivity,Controlled,In control,Strong,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Frequent,Moderate,Not refreshed,Comfortable,Mild
Slightly high,Rarely,Mostly predictable,Low,Improve productivity,Busy,In control,Strong,Satisfied and clear,Try to figure out,Occasionally,Feel stressed,Often,Very comfortable,Clear,Rare,Moderate,Fully refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Predictable,No control,Slight impact,Controlled,Struggling,Weak,Satisfied and clear,Try to figure out,Occasionally,Analyze and fix,Sometimes,Very comfortable,Mostly clear,Occasional,High,Mostly refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Predictable,Moderate,Improve productivity,Busy,In control,Moderate,Satisfied and clear,Clarify immediately,Rarely,Feel stressed,Sometimes,Slightly uncomfortable,Clear,Rare,High,Fully refreshed,Comfortable,Minimal
Slightly high,Occasionally,Mostly predictable,High,Improve productivity,Controlled,Managing,Moderate,Satisfied and clear,Try to figure out,Occasionally,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,Moderate,Fully refreshed,Comfortable,Mild
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Hectic,In control,Moderate,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Sometimes,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Noticeable
Well-balanced,Frequently,Mostly predictable,High,Reduce productivity,Hectic,Managing,Moderate,Slightly tired,Clarify immediately,Occasionally,Feel stressed,Sometimes,Very comfortable,Clear,Occasional,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Predictable,Low,Improve productivity,Busy,In control,Strong,Slightly tired,Try to figure out,Rarely,Adjust quickly,Always,Very comfortable,Clear,Rare,Very low,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Predictable,Moderate,Improve productivity,Controlled,In control,Strong,Mentally drained,Try to figure out,Rarely,Analyze and fix,Always,Very comfortable,Clear,Constant,Low,Fully refreshed,Slight discomfort,Noticeable
Slightly high,Occasionally,Predictable,High,Slight impact,Chaotic,Struggling,Strong,Slightly tired,Try to figure out,Rarely,Adjust quickly,Often,Comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Mostly predictable,High,Reduce productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Avoid dealing,Always,Very comfortable,Clear,Occasional,High,Fully refreshed,Slight discomfort,Minimal
Slightly high,Rarely,Predictable,High,Improve productivity,Controlled,In control,Moderate,Mentally drained,Clarify immediately,Rarely,Feel stressed,Always,Very comfortable,Clear,Rare,Moderate,Slightly refreshed,Comfortable,Minimal
Slightly high,Occasionally,Sometimes unpredictable,High,Slight impact,Hectic,Managing,Moderate,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Uncomfortable,Mostly clear,Rare,High,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Rarely,Mostly predictable,Moderate,Slight impact,Controlled,In control,Strong,Mentally drained,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,High,Mostly refreshed,Noticeable strain,Minimal
Slightly high,Rarely,Mostly predictable,High,Improve productivity,Controlled,Managing,Moderate,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Occasional,High,Fully refreshed,Comfortable,Minimal
Slightly High,Occasionally,Sometimes unpredictable,High,Slight impact,Busy,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Clear,Rare,Moderate,Fully refreshed,Comfortable,Mild
Well-balanced,Rarely,Predictable,No control,Improve productivity,Busy,In control,Moderate,Slightly tired,Clarify immediately,Occasionally,Analyze and fix,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Mild
Well-balanced,Rarely,Predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Slightly uncomfortable,Clear,Rare,High,Mostly refreshed,Comfortable,Mild
Slightly high,Rarely,Mostly predictable,Moderate,Improve productivity,Busy,Managing,Strong,Satisfied and clear,Clarify immediately,Rarely,Feel stressed,Always,Comfortable,Clear,Frequent,High,Fully refreshed,Slight discomfort,Mild
